"","loss","accuracy","data","unit","layer_num","activation","drop_out_rate","batch_size"
"1",0.425422012805939,0.882308840751648,"train",10,2,"sigmoid",NA,NA
"2",0.532551825046539,0.855711400508881,"test",10,2,"sigmoid",NA,NA
"3",0.557514905929565,0.912543714046478,"train",10,2,"relu",NA,NA
"4",0.665038764476776,0.8567134141922,"test",10,2,"relu",NA,NA
"5",0.370250701904297,0.923788130283356,"train",25,2,"sigmoid",NA,NA
"6",0.465162724256516,0.872745513916016,"test",25,2,"sigmoid",NA,NA
"7",0.717883586883545,0.924537718296051,"train",25,2,"relu",NA,NA
"8",0.775162935256958,0.883767545223236,"test",25,2,"relu",NA,NA
"9",0.398063689470291,0.925287365913391,"train",50,2,"sigmoid",NA,NA
"10",0.46330600976944,0.880761504173279,"test",50,2,"sigmoid",NA,NA
"11",0.79347151517868,0.924537718296051,"train",50,2,"relu",NA,NA
"12",0.812461793422699,0.888777554035187,"test",50,2,"relu",NA,NA
"13",0.494157820940018,0.926536738872528,"train",100,2,"sigmoid",NA,NA
"14",0.549830913543701,0.891783595085144,"test",100,2,"sigmoid",NA,NA
"15",0.741512060165405,0.924787580966949,"train",100,2,"relu",NA,NA
"16",0.762840509414673,0.897795617580414,"test",100,2,"relu",NA,NA
"17",0.588724255561829,0.92553722858429,"train",200,2,"sigmoid",NA,NA
"18",0.629259169101715,0.887775540351868,"test",200,2,"sigmoid",NA,NA
"19",0.75910496711731,0.928035974502563,"train",200,2,"relu",NA,NA
"20",0.744609355926514,0.910821616649628,"test",200,2,"relu",NA,NA
"21",0.649845778942108,0.925037503242493,"train",300,2,"sigmoid",NA,NA
"22",0.677329242229462,0.886773526668549,"test",300,2,"sigmoid",NA,NA
"23",0.792113602161407,0.925287365913391,"train",300,2,"relu",NA,NA
"24",0.739522635936737,0.904809594154358,"test",300,2,"relu",NA,NA
"25",0.682626366615295,0.925787091255188,"train",400,2,"sigmoid",NA,NA
"26",0.710415840148926,0.893787562847137,"test",400,2,"sigmoid",NA,NA
"27",0.82300066947937,0.925787091255188,"train",400,2,"relu",NA,NA
"28",0.790624976158142,0.908817648887634,"test",400,2,"relu",NA,NA
"29",0.487230271100998,0.867066442966461,"train",10,3,"sigmoid",NA,NA
"30",0.613623678684235,0.830661296844482,"test",10,3,"sigmoid",NA,NA
"31",0.474633365869522,0.919290363788605,"train",10,3,"relu",NA,NA
"32",0.713744401931763,0.858717441558838,"test",10,3,"relu",NA,NA
