"","word","spaced_word"
"175","죄송하다하나님","죄송하다 하나님"
"176","이야기내","이야기내"
"177","있었다같은","있었다 같은"
"178","발전했다어느새","발전했다 어느새"
"179","연락한지","연락한지"
"180","무렵갑자기","무렵 갑자기"
"181","남자친구란다근데","남자친구란 다근 데"
"182","친구사진","친구 사진"
"183","나왔냐며","나왔냐며"
"184","한마디사진들","한마디 사진들"
"185","보냈다그","보냈다 그"
"186","모르겠다사람을","모르겠다 사람을"
"187","부담스러울까봐","부담스러울까봐"
"188","상담가서","상담가서"
"189","속시원해짧은","속시원해 짧은"
"190","다르다나도","다르다 나도"
"191","되어야겠","되어야겠"
"192","친척들이","친척들이"
"193","손절한듯딱히","손절한 듯 딱히"
"194","없는데외국에","없는데 외국에"
"195","안만나고","안 만나고"
"196","자람여태까지는","자람 여태까지는"
"197","찐따마냥","찐따마냥"
"198","안감부모님","안 감 부모님"
"199","어려워하는거","어려워하는 거"
"200","안함친척들도","안함 친척들도"
"201","안함근데","안함근 데"
"202","잘챙겨줌가끔씩","잘 챙겨줌 가끔씩"
"203","그럼근데","그럼 근데"
"204","어려운건","어려운 건"
"205","마찬가지어른들이","마찬가지 어른들이"
"206","어려운건","어려운 건"
"207","아닌듯그냥","아닌 듯 그냥"
"208","안친한데","안친한 데"
"209","어려운거","어려운 거"
"210","같음막상","같음막상"
"211","어려움외가쪽","어려움 외 가쪽"
"212","친척들이","친척들이"
"213","저녁먹는건데","저녁 먹는 건데"
"214","분위기임근데","분위기 임근데"
"215","사촌동생들","사촌동생들"
"216","앵기지도","앵 기지도"
"217","어색해함그러다보니","어색해 함그러다 보니"
"218","어려움가면","어려움 가면"
"219","느낌임그냥","느낌임 그냥"
"220","친척들이","친척들이"
"221","불편해서","불편해서"
"222","띠용함시발나","띠용함 시 발나"
"223","안귀엽나뭐지변햇나왜","안귀엽 나뭐지 변햇나왜"
"224","안귀여워하지날귀여워해","안 귀여워하지 날 귀여워해"
"225","남았다할머니","남았다 할머니"
"226","할라버지께","할라버지께"
"227","안부인사","안부 인사"
"228","할아버지","할아버지"
"229","보고싶단다그냥","보고 싶단다 그냥"
"230","그랬다하루정도만","그랬다 하루 정도만"
"231","그랬다너무","그랬다 너무"
"232","후회된다할머니","후회된다 할머니"
"233","할아버지","할아버지"
"234","찾아뵙겠습니","찾아뵙겠습니"
"235","할머니댁","할머니댁"
"236","집오는게","집오는 게"
"237","아니었어너무","아니었어 너무"
"238","가족들이","가족들이"
"239","인간들이","인간들이"
"240","틀림없어진짜","틀림없어진짜"
"241","괴롭다가족땜에","괴롭다가족땜에"
"242","사람들아","사람들아"
"243","우리사나이","우리사나이"
"244","산다폭탄","산다 폭탄"
"245","쓰면서고향땅","쓰면서 고향 땅"
"246","부모형제","부모형제"
"247","위해전우","위해전우"
"248","지킨다멸공","지킨다멸공"
"249","직장가면","직장 가면"
"250","마셔야함술못마시면","마셔야 함술 못마시면"
"251","여초직렬쪽","여초 직렬 쪽"
"252","아니라가난이","아니라 가난이"
"253","싫다105원","싫다 105원"
"254","앞에아득한","앞에 아득한"
"255","떠서불빛을","떠서 불빛을"
"256","먹고성공을","먹고 성공을"
