"","word","spaced_word"
"4057","말씀하시","말씀하시"
"4058","죽어야만이","죽어야만이"
"4059","그리스도","그리스도"
"4060","말씀하셨습니다그리고","말씀하셨습니다 그리고"
"4061","에타에서","에타에서"
"4062","성게시판","성게시판"
"4063","기뻐하십니다지금","기뻐 하십니다 지금"
"4064","심장박동","심장박동"
"4065","숭배자들","숭배자들"
"4066","페미니즘","페미니즘"
"4067","공산주의","공산주의"
"4068","폭력주의","폭력주의"
"4069","쾌락주의","쾌락주의"
"4070","한탕주의","한탕주의"
"4071","물질만능주의","물질만능주의"
"4072","외모만능주의","외모 만능주의"
"4073","쾌락주의","쾌락주의"
"4074","진영논리","진영 논리"
"4075","심장박동","심장박동"
"4076","것입니다그러나","것입니다 그러나"
"4077","심장박동","심장박동"
"4078","심장박동들","심장박동들"
"4079","하십니다그리고","하십니다 그리고"
"4080","하루하루","하루하루"
"4081","기도제목","기도 제목"
"4082","기도제목","기도 제목"
"4083","보내주셧으면","보내 주셧으면"
"4084","좋겠습니다그리고","좋겠습니다 그리고"
"4085","많아진다거나","많아진다거나"
"4086","여러분들을","여러분들을"
"4087","말합니다아버지를","말합니다 아버지를"
"4088","계십니다what","계십니다 what"
"4089","전공고민순수콘디인데","전공 고민순수 콘디인데"
"4090","전공선택","전공 선택"
"4091","보냈어그러면","보냈어 그러면"
"4092","순수콘디","순수 콘디"
"4093","들어갔어비전도","들어갔어 비전도"
"4094","하긴해야지","하긴 해야지"
"4095","스트레스","스트레스"
"4096","쉽더라내가","쉽더라 내가"
"4097","온거였어","온 거였어"
"4098","나도모르게","나도 모르게"
"4099","주변사람들","주변 사람들"
"4100","하는거에","하는 거에"
"4101","안가봐서","안 가봐서"
"4102","같아그냥","같아 그냥"
"4103","몰라서론이","몰라서론이"
"4104","못따라가서","못 따라가서"
"4105","바닥이고그렇다고","바닥이고 그렇다고"
"4106","같아물론","같아 물론"
"4107","생각해서","생각해서"
"4108","느껴졌어전공상담도","느껴졌어 전공상담도"
"4109","이런사람이구나","이런 사람이구나"
"4110","참고용이","참고용이"
"4111","취업전망","취업 전망"
"4112","전산경영","전산경영"
"4113","생각안해봤던","생각 안 해봤던"
"4114","하고싶은걸","하고 싶은 걸"
"4115","딜레마야당장","딜레마 야당장"
"4116","전공변경","전공 변경"
"4117","어떡하지추천하는","어떡하지 추천하는"
"4118","전공있을까","전공 있을까"
"4119","복수전공","복수전공"
"4120","들더라마케팅은","들더라 마케팅은"
"4121","10학기를","10학기를"
"4122","듣다보면","듣다 보면"
"4123","시디하다가","시디하다가"
"4124","전산심화","전산 심화"
"4125","들기도하고머릿속에는","들기도 하고 머릿속에는"
"4126","다있는데","다 있는데"
"4127","안돼지나가는","안 돼 지나가는"
"4128","해주세요휴학하고싶은데","해주세요 휴학하고 싶은데"
"4129","크리스천","크리스천"
"4130","크리스천","크리스천"
"4131","질문하나님께서는","질문 하나님께서는"
"4132","그에따른","그에 따른"
"4133","준비하시","준비하시"
"4134","사랭해서","사랭해서"
"4135","자유의지","자유의지"
"4136","하나님께서","하나님께서"
"4137","모든것을","모든 것을"
"4138","창조하시","창조하시"
"4139","인형놀이","인형놀이"
"4140","들어서요절대","들어서 요 절대"
"4141","궁금해서","궁금해서"
"4142","올려봅니","올려봅니"
"4143","재이수를","재이수를"
"4144","생일선물","생일선물"
"4145","챙기는거","챙기는 거"
"4146","새새같은거","새 새 같은 거"
"4147","스트레스","스트레스"
"4148","입니다일단","입니다일단"
"4149","생리중일때","생리 중일 때"
"4150","함몰유두","함몰 유두"
"4151","쳐진가슴입니다인터넷","쳐진 가슴입니다 인터넷"
"4152","함몰유두","함몰 유두"
"4153","편이더라고요제","편이더라고요제"
"4154","꼭쥐쓰는","꼭 쥐쓰는"
"4155","꼭쥐스만","꼭 쥐스만"
"4156","100만원","100만원"
"4157","가족포함","가족 포함"
"4158","가능한가","가능한가"
"4159","보이고속옷","보이고 속옷"
"4160","보정속옷","보정속옷"
"4161","개처졌어료","개처졌어료"
"4162","이렇다보니","이렇다 보니"
"4163","사진찍은거","사진 찍은 거"
"4164","하강중이","하강 중이"
"4165","관련해서","관련해서"
"4166","정말정말","정말 정말"
"4167","많이지고하니","많이 지고 하니"
"4168","있을거같은데","있을 거 같은 데"
"4169","궁금해서","궁금해서"
"4170","올린당자살은","올린 당 자살은"
"4171","장례식때","장례식 때"
"4172","없고아마도","없고 아마도"
"4173","장례식장","장례식장"
"4174","없는거고이게","없는 거고 이게"
"4175","궁금했었","궁금했었"
"4176","연락두절","연락 두절"
"4177","인스타는","인스타는"
"4178","진짜원래","진짜 원래"
"4179","기독교인","기독교인"
"4180","말하는거","말하는 거"
"4181","재밌는척이","재밌는 척이"
"4182","안궁금하다","안 궁금하다"
"4183","생각많아서","생각 많아서"
"4184","없는듯그냥","없는 듯 그냥"
"4185","생각하는걸","생각하는 걸"
"4186","많이하는","많이 하는"
"4187","이번학기","이번 학기"
"4188","잘산다는게","잘 산다는 게"
"4189","이번학기","이번 학기"
"4190","무기력하기","무기력하기"
"4191","행복한가","행복한가"
"4192","어디서에서","어디서에서"
"4193","않았던거지","않았던 거지"
"4194","알고리즘","알고리즘"
"4195","깨달았어","깨달았어"
"4196","단순하다는걸","단순하다는 걸"
"4197","찾으려고했어","찾으려고 했어"
"4198","나타나는거더라고","나타나는 거더라고"
"4199","찾으려고했을땐","찾으려고 했을 땐"
"4200","친구들이","친구들이"
"4201","주세요this","주세요 th is"
"4202","himhttpswwwyoutubecomwatchvmnkmojl00eegod","himhttpswwwyoutubecomwatc hvmnkmojl 00eegod"
"4203","시작하겠습니다아버지를","시작하겠습니다 아버지를"
"4204","예수님만이","예수님만이"
"4205","받으소서","받으소서"
"4206","주시옵소서","주시옵소서"
"4207","하소서저에게","하소서 저에게"
"4208","하리이까영상에선","하리이까 영상에선"
"4209","아닙니다그리고","아닙니다 그리고"
"4210","여러분주님이","여러분 주님이"
"4211","합니다주여","합니다주여"
"4212","입히시옵소서","입히 시옵소서"
"4213","나아오시길","나아오시길"
"4214","돌아오길","돌아오길"
"4215","하십니다영상을","하십니다 영상을"
"4216","기도하시","기도 하시"
"4217","찾아가십니다그리고","찾아가십니다 그리고"
"4218","전합니다brothers","전합니다 brothers"
"4219","초딩이랑","초딩이랑"
"4220","스펙타클하네방금","스펙타클하네 방금"
"4221","샤프심을","샤프심을"
"4222","1cm가","1cm가"
"4223","뒷꿈치에","뒷꿈치에"
"4224","꽂힘어떻게","꽂힘 어떻게"
"4225","못나갈듯요오드로","못 나갈 듯 요오드로"
"4226","안걸리겠","안 걸리겠"
"4227","이것저것","이것저것"
"4228","속상하다교수님들한테도","속상하다 교수님들한테도"
"4229","실망스러워애초에","실망스러워 애초에"
"4230","ec시험오늘","ec 시험 오늘"
"4231","ec시험이","ec 시험이"
"4232","와이파이","와이파이"
"4233","영어듣기","영어 듣기"
"4234","안들릴까봐","안 들릴까봐"
"4235","태블릿으로","태블릿으로"
"4236","해달라고","해달라고"
"4237","청소소리","청소 소리"
"4238","하나하나","하나하나"
"4239","스트레스","스트레스"
"4240","다였어시험치는데","다였어 시험치는 데"
"4241","울었어점수","울었어 점수"
"4242","않았어근데","않았어 근데"
"4243","꼬인생각만","꼬인 생각만"
"4244","하게된다모태신앙은","하게 된다 모태신앙은"
"4245","중학교때","중학교 때"
"4246","위로하심","위로 하심"
"4247","고등학교때","고등학교 때"
"4248","수련회가는거도","수련회가는 거도"
"4249","입시하면서","입시하면서"
"4250","하나님이랑","하나님이랑"
"4251","하나님을","하나님을"
"4252","부정하는건","부정하는 건"
"4253","하나님이","하나님이"
"4254","계시는건","계시는 건"
"4255","쓸데없는말만","쓸데없는 말만"
"4256","늘어놔서","늘어놔서"
"4257","세상살이","세상살이"
"4258","어디있나","어디 있나"
"4259","자랑하는거","자랑하는 거"
"4260","같아보이고이런식으로","같아 보이고 이런 식으로"
"4261","바라보게되그래놓고","바라보게 되 그래놓고"
"4262","왜이러지이러고이중인격은","왜 이러지 이러고 이중 인격은"
"4263","모습때문에","모습 때문에"
"4264","하신다평소엔","하신 다 평소엔"
"4265","유튜버중에","유튜버 중에"
"4266","성적대상화","성적 대상화"
"4267","유튜버가","유튜버가"
"4268","구분짓는거","구분짓는 거"
"4269","생각함그","생각 함그"
"4270","야하거나","야하거나"
"4271","구분짓는거같아서","구분짓는 거 같아서"
"4272","차별되는거같다","차별되는 거 같다"
"4273","여자아이돌","여자아이돌"
"4274","있는거지","있는 거지"
"4275","아닌데예를","아닌데 예를"
"4276","남자댄서분","남자 댄서 분"
"4277","비밀게에","비밀게에"
"4278","아닌거같긴","아닌 거 같긴"
"4279","우리아빠","우리 아빠"
"4280","죽어버렸음좋겠다","죽어버렸음 좋겠다"
"4281","학점관리","학점관리"
"4282","자기관리","자기관리"
"4283","속터진다처음에는","속 터진다 처음에는"
"4284","찾는거로","찾는 거로"
"4285","했음근데","했음근 데"
"4286","창조과학","창조과학"
"4287","지적설계","지적설계"
"4288","있었음일단","있었음 일단"
"4289","내용진짜","내용 진짜"
"4290","했음그래도","했음 그래도"
"4291","창조과학","창조과학"
"4292","지적설계가","지적설계가"
"4293","싶었음근데","싶었음근 데"
"4294","믿는거랑","믿는 거랑"
"4295","그럴꺼면","그럴 꺼면"
"4296","자연재해","자연재해"
"4297","보지말고아무튼","보지 말고 아무튼"
"4298","어느정도","어느 정도"
"4299","읽지마라","읽지 마라"
"4300","이미지메이킹하고","이미지메이킹하고"
"4301","가식떠는거","가식 떠는 거"
"4302","가드름이나","가드름이나"
"4303","스트레스","스트레스"
"4304","가려입규그냥","가려입규 그냥"
"4305","읽어주세요그치만","읽어주세요 그치만"
"4306","봐야겠습니다만","봐야겠습니다만"
"4307","응답하시","응답하시"
"4308","모태신앙이긴","모태신앙이긴"
"4309","이것들을","이것들을"
"4310","집중해서","집중해서"
"4311","횡설수설","횡설수설"
"4312","있습니다거두절미","있습니다거두절미"
"4313","질문들이","질문들이"
"4314","있었는데첫째로","있었는데 첫째로"
"4315","것이었습니다응답","것이었습니다 응답"
"4316","강해졌습니다둘째로","강해졌습니다 둘째로"
"4317","달라셋째","달라 셋째"
"4318","주세요두","주세요두"
"4319","씁니다응답","씁니다 응답"
"4320","예수님을","예수님을"
"4321","있었습니다그러다","있었습니다 그러다"
"4322","이하었습니다소제목","이 하었습니다소 제목"
"4323","여호와께서","여호와께서"
"4324","가라사대","가라사대"
"4325","진멸하리라","진멸하리라"
"4326","진멸하고","진멸하고"
"4327","멸절하리","멸절하리"
"4328","말이니라정말","말이니라 정말"
"4329","1절이하입니다소제목","1절 이하입니다소 제목"
"4330","만민들아","만민들아"
"4331","거민들아","거민들아"
"4332","들을찌어다","들을 찌어다"
"4333","묵상하리","묵상하리"
"4334","하나님께","하나님께"
"4335","우준하고","우준하고"
"4336","끼치는도다중략","끼치는 도다 중략"
"4337","받을찌라도","받을 찌라도"
"4338","같도다말씀이","같도 다 말씀이"
"4339","랜덤하게","랜덤하게"
"4340","예레미야","예레미야"
"4341","이하입니다소제목포로","이하입니다소 제목포로"
"4342","약속하심","약속하심"
"4343","말씀하심","말씀하심"
"4344","됩이로다마는","됩이로 다마는"
"4345","여호와가","여호와가"
"4346","여호와를","여호와를"
"4347","여호와가","여호와가"
"4348","이스라엘아","이스라엘아"
"4349","구원하리","구원하리"
"4350","여호와가","여호와가"
"4351","진멸한다","진멸한다"
"4352","할찌라도","할 찌라도"
"4353","진멸하지","진멸하지"
"4354","아니하리라중략","아니 하리라 중략"
"4355","자는탈취를","자는 탈취를"
"4356","여호와가","여호와가"
"4357","시온이라","시온이라"
"4358","여호와가","여호와가"
"4359","본족에게서","본족에게서"
"4360","접근하리","접근하리"
"4361","말이니라","말이니라"
"4362","하나님이","하나님이"
"4363","회리바람처럼","회리 바람처럼"
"4364","깨달으리라말씀들이","깨달으리라 말씀들이"
"4365","것입니다여기까지","것입니다 여기까지"
"4366","예레미야가","예레미야가"
"4367","씁니다이","씁니다이"
"4368","회개하시길","회개하시길"
"4369","하나님을","하나님을"
"4370","아버지만","아버지만"
"4371","아버지만","아버지만"
"4372","알려달라고","알려달라고"
"4373","인도하시","인도 하시"
"4374","하나님을","하나님을"
"4375","사랑하십니다여러분","사랑하십니다 여러분"
"4376","말씀하시","말씀하시"
"4377","사랑하신대요","사랑하신 대요"
"4378","사랑하신대요","사랑하신 대요"
"4379","쓰는동안은","쓰는 동안은"
"4380","하나님이","하나님이"
"4381","사랑하신대요","사랑하신 대요"
"4382","하나님이","하나님이"
"4383","하나님이","하나님이"
"4384","사랑하신대요","사랑하신 대요"
"4385","복종할까아닌","복종할까 아닌"
"4386","않는다왜","않는다왜"
"4387","해야하냐고이렇게","해야 하냐고 이렇게"
"4388","되냐고하기","되냐고 하기"
"4389","다한다내가","다한다 내가"
"4390","어느하나도","어느 하나도"
"4391","편입관련","편입 관련"
"4392","커뮤니티","커뮤니티"
"4393","두려우신가요저는","두려우신가요 저는"
"4394","싫은거징여긴","싫은 거징 여긴"
"4395","올려볼게요우울증","올려볼게 요 우울증"
"4396","3년정도","3년 정도"
"4397","되었어요예전보다는","되었어요 예전보다는"
"4398","있어요상담센터","있어 요상담센터"
"4399","좋아하는거","좋아하는 거"
"4400","여행하기","여행하기"
"4401","훈련했는데이따금","훈련했는데 이따금"
"4402","안돼요내일은","안돼요 내일은"
"4403","모르겠어요주변에","모르겠어요 주변에"
"4404","안되니까요coronablue라는","안되니까요coronablue라는"
"4405","안나왔어요","안 나왔어요"
"4406","순간이약먹고","순간이 약 먹고"
"4407","우리학교","우리 학교"
"4408","물어봐달라구해서","물어봐 달라 구해서"
"4409","다른학교야1학년","다른 학교 야1학년"
"4410","동기들이","동기들이"
"4411","휴학기간동안","휴학기간 동안"
"4412","다른반이","다른 반이"
"4413","동기들이","동기들이"
"4414","수업듣네","수업 듣네"
"4415","점심약속","점심 약속"
"4416","휴학기간동안","휴학기간 동안"
"4417","현타와나는","현타와 나는"
"4418","생각안했던","생각 안 했던"
"4419","15주차동안","15주차 동안"
"4420","달려왓는데","달려 왓는데"
"4421","미안하다진짜","미안하다 진짜"
"4422","치과갔는데","치과 갔는데"
"4423","신경치료","신경치료"
"4424","200만원진짜","200만원 진짜"
"4425","너무너무너무너무후회된","너무 너 무너무너무 후회된"
"4426","고장냈는데","고장 냈는데"
"4427","서비스센터가서","서비스센터가서"
"4428","그래교회언니들","그래 교회 언니들"
"4429","휴대전화","휴대전화"
"4430","언니들이","언니들이"
"4431","할거래이럴때는","할 거래 이럴 때는"
"4432","잘못안해","잘못 안 해"
"4433","시끄럽다매일","시끄럽다 매일"
"4434","있는데더워서","있는데 더워서"
"4435","있음그러면","있음 그러면"
"4436","때라는게사회나와서","때라는 게 사회 나와서"
"4437","직딩이고요","직딩이고요"
"4438","미시경제","미시경제"
"4439","거시경제","거시경제"
"4440","회계학입문","회계학 입문"
"4441","들으세요전공","들으세요전공"
"4442","들으세요제발","들으세요제발"
"4443","3개국어에","3개국어에"
"4444","대외활동","대외활동"
"4445","놀았어요정말","놀았어요 정말"
"4446","설렁설렁","설렁설렁"
"4447","힘드네요위","힘드네요위"
"4448","들입니다하다못해","들입니다 하다 못해"
"4449","전공시험","전공시험"
"4450","편해질꺼에요","편해질꺼에요"
"4451","전공아니라고","전공 아니라고"
"4452","안할꺼라고","안 할 꺼라고"
"4453","안나온다고","안 나온다고"
"4454","싶다시답잖은","싶다시답잖은"
"4455","킬킬대고촉촉히","킬킬대고 촉촉히"
"4456","느끼고늘","느끼고 늘"
"4457","싸강으로","싸강으로"
"4458","새새공동체에서","새 새 공동체에서"
"4459","흘러갔었는데sns를","흘러갔었는데 sns를"
"4460","기프티콘","기프티콘"
"4461","챙겼더라같은","챙겼더라 같은"
"4462","쪼오오오끔","쪼오오오끔"
"4463","찌질한걸","찌질한 걸"
"4464","모르겠지만기계과","모르겠지만 기계과"
"4465","있어도괜찮은","있어도 괜찮은"
"4466","본다아무도","본다 아무도"
"4467","맘은환한","맘은 환한"
"4468","짓는다혼자서","짓는 다 혼자서"
"4469","기대어오","기대어오"
"4470","달려왔지오늘도","달려왔지 오늘도"
"4471","오래만났던","오래 만났던"
"4472","잊어야할까요어릴때부터","잊어야 할까요 어릴 때부터"
"4473","오래만났던","오래 만났던"
"4474","잠수이별","잠수 이별"
"4475","했어요그러고","했어요 그러고"
"4476","몇달지나니까","몇 달 지나니까"
"4477","살수있을거같아서","살 수 있을 거 같아서"
"4478","여자친구","여자친구"
"4479","잘살고있는데저는","잘 살고 있는데 저는"
"4480","다시생각해보라고","다시 생각해보라고"
"4481","아파요못해준게","아파요 못해준 게"
"4482","좋은사람이","좋은 사람이"
"4483","못했나하는","못했나 하는"
"4484","많이나고","많이 나고"
"4485","후회되요개는","후회되요개는"
"4486","연애감정","연애감정"
"4487","1도없고","1도 없고"
"4488","좋데요제가","좋데요제가"
"4489","힘들어할까요다시한번","힘들어할까요 다시 한 번"
"4490","후회할거","후회할 거"
"4491","매달렸는데매달리고나니까","매달렸는데 매달리고 나니까"
"4492","후련하긴해요","후련하긴 해요"
"4493","아닐거래요제가","아닐 거래요제가"
"4494","몹쓸소리","몹쓸 소리"
"4495","많이들었거든요","많이 들었거든요"
"4496","그런말할때","그런 말할 때"
"4497","그랬어요다","그랬어요다"
"4498","그런소리를","그런 소리를"
"4499","살많이쪘고","살 많이 쪘고"
"4500","계속생각나요","계속 생각나요"
"4501","만나는애는","만나는 애는"
"4502","키도크고","키도 크고"
"4503","좋더라고요개가","좋더라고요 개가"
"4504","50키로","50키로"
"4505","빼야된데요","빼야 된데요"
"4506","살안빼고","살 안 빼고"
"4507","안만들면","안 만들면"
"4508","없어지는거같은","없어지는 거 같은"
"4509","계속들어요제가","계속 들어요제가"
"4510","나빴던거","나빴던 거"
"4511","스트레스때문에","스트레스 때문에"
"4512","어려울거","어려울 거"
"4513","부르더호프","부르더호프"
"4514","다녀오신분들","다녀오신 분들"
"4515","계실까요이번에","계실까요 이번에"
"4516","어떠셨는지","어떠셨는지"
"4517","다녀오신분후기를","다녀오신 분후기를"
"4518","듣고싶습니","듣고 싶습니"
"4519","때부턴가","때부턴가"
"4520","올라오더라고그","올라오더라고 그"
"4521","마주치고외모","마주치고 외모"
"4522","커져서사람","커져서 사람"
"4523","무서워피부만","무서워 피부만"
"4524","되고아니","되고 아니"
"4525","피지분비량이","피지 분비량이"
"4526","거라며나보고","거라며 나보고"
"4527","모르겠다병원도","모르겠다 병원도"
"4528","이것저것","이것저것"
"4529","없다바깥에거","없다 바깥에거"
"4530","없더라이소트레티노인","없더라이소 트레티노인"
"4531","우울해지","우울해지"
"4532","안맞나봐시간이","안 맞나봐 시간이"
"4533","하는데지금","하는데 지금"
"4534","어쩌라고10분","어쩌라고 10분"
"4535","보여요물질적인","보여 요 물질적인"
"4536","아니라재능적인","아니라 재능적인"
"4537","것들이요저는","것들이 요저는"
"4538","쳐요공부","쳐요공부"
"4539","등등정말","등등 정말"
"4540","같아요못한다는","같아요 못한다는"
"4541","없지만그렇다고","없지만 그렇다고"
"4542","아닌끼가","아닌 끼가"
"4543","같아요그러다보니","같아요 그러다 보니"
"4544","보면너무","보면 너무"
"4545","부러워요제","부러워요제"
"4546","싫어질만큼요살짝","싫어질 만큼 요살짝"
"4547","가졌는데왜","가졌는데 왜"
"4548","것들에만","것들에만"
"4549","될까요왜","될까요왜"
"4550","애매해서무엇을","애매해서 무엇을"
"4551","없을까요분명","없을까요 분명"
"4552","다재다능한","다재다능한"
"4553","축복일텐데왜","축복일텐데 왜"
"4554","못할까요이런","못할까요 이런"
"4555","안좋아질","안 좋아질"
"4556","것을뻔히","것을 뻔히"
"4557","되어요머리로는","되어 요 머리로는"
"4558","있는데마음이","있는데 마음이"
"4559","고민이겠죠이","고민이겠죠이"
"4560","읽으면서아직","읽으면서 아직"
"4561","들었다고혀를","들었다고 혀를"
"4562","있겠네요그냥","있겠네요 그냥"
"4563","해봤어요제","해봤어요제"
"4564","사람들은제","사람들은 제"
"4565","모르거든요그냥","모르거든요 그냥"
"4566","싶었어요읽어줘서","싶었어요 읽어줘서"
"4567","맘쯔음에","맘쯔음에"
"4568","언니오빠동생","언니 오빠 동생"
"4569","스트레스","스트레스"
"4570","풀어달라고","풀어달라고"
"4571","온다너무","온 다 너무"
"4572","상담센터","상담센터"
"4573","있나요요즘","있나요 요즘"
"4574","감정기폭","감정기폭"
"4575","우울해하심평소에","우울해 하심 평소에"
"4576","이러시면","이 러시면"
"4577","눈치보게되네어떻게","눈치보게 되네 어떻게"
"4578","좋을까내가","좋을까 내가"
"4579","가족들이","가족들이"
"4580","하나님은","하나님은"
"4581","해결해주시는구나하나님","해결해주시는구나 하나님"
"4582","감사합니","감사합니"
"4583","아득해지","아득해지"
"4584","몇일이었","몇 일이었"
"4585","무엇인가요저는","무엇인가 요저는"
"4586","많아요그래서","많아요 그래서"
"4587","같더라고요엄마와","같더라고 요 엄마와"
"4588","들어요그게","들어요 그게"
"4589","자기관리인가요털","자기관리인가요털"
"4590","나는거잖아요","나는 거잖아요"
"4591","생물쌤이","생물쌤이"
"4592","하셨거든요콧털같은건","하셨거든 요콧털 같은 건"
"4593","중앙이기도하니까","중앙이기도 하니까"
"4594","콧털삐져나온건","콧털 삐져 나온 건"
"4595","생각하는데다리털까지","생각하는 데 다리털까지"
"4596","자기관리","자기관리"
"4597","선호도차","선호도차"
"4598","생각했거든요밀고싶으면","생각했거든 요밀고 싶으면"
"4599","지켜주던애고","지켜주던 애고"
"4600","인간이고근데","인간이고 근데"
"4601","오마이걸에","오마이걸에"
"4602","꽂혀있거든아예","꽂혀 있거든 아예"
"4603","데면데면하면","데면 데면 하면"
"4604","상처받을거","상처받을 거"
"4605","동생1이","동생 1이"
"4606","안나잖아","안나잖아"
"4607","개멍청하다고","개멍청하다고"
"4608","안난다고","안난다고"
"4609","다리털이야너무바보같아진짜","다리털 이 야 너무 바보 같아 진짜"
"4610","비밀게시판","비밀게시판"
"4611","이슈1다리털사건2생리","이슈 1다리털 사건 2생리"
"4612","냄새지적사","냄새 지적사"
"4613","안생길거","안 생길 거"
"4614","고민하냐만나주면","고민하냐 만나주면"
"4615","만나라다리털이니","만나라 다리털 이니"
"4616","15주차","15주차"
"4617","전쟁관리","전쟁관리"
"4618","콧털까지","콧털까지"
"4619","입장에서남자분들","입장에서 남자분들"
"4620","면도하시","면도하시"
"4621","까끌까끌하잖아요","까끌까끌하잖아요"
"4622","안좋잖아요","안 좋잖아요"
"4623","맨들하다","맨들하다"
"4624","안밉니다털","안 밉니다 털"
"4625","차이인거고","차이인 거고"
"4626","스크래치","스크래치"
"4627","극혐하는거임","극혐하는 거임"
"4628","여자친구","여자친구"
"4629","여자친구","여자친구"
"4630","이해해볼려고","이해해 볼려고"
"4631","글을썼다는데","글을 썼다는 데"
"4632","댓글단거보니까","댓글단거보니까"
"4633","답정너인","답정 너인"
"4634","되물림하기","되물림하기"
"4635","안만나서","안 만나서"
"4636","데이트비용","데이트 비용"
"4637","주식해서","주식해서"
"4638","맥북이랑","맥북이랑"
"4639","델모니터","델모니터"
"4640","그립다같이","그립다 같이"
"4641","고등학교때","고등학교 때"
"4642","한무리에","한 무리에"
"4643","어쩡쩡대다가","어쩡쩡 대다가"
"4644","전화한통","전화 한 통"
"4645","사귈려했는데도","사귈려 했는데도"
"4646","코로나때문에","코로나 때문에"
"4647","집에있어야하고","집에 있어야 하고"
"4648","학교간친구들은","학교 간 친구들은"
"4649","고딩때는","고딩 때는"
"4650","반친구들이","반 친구들이"
"4651","혼밥만할까봐","혼밥만 할까봐"
"4652","미안하단","미안하단"
"4653","하고싶다아슬아슬하고","하고 싶다 아슬아슬하고"
"4654","캥기고불편하고","캥기고 불편하고"
"4655","불안하고허무하고","불안하고 허무하고"
"4656","미치겟다","미치겟다"
"4657","영어분반","영어분반"
"4658","수업듣는데","수업 듣는 데"
"4659","따로내는","따로 내는"
"4660","수업안들었는데","수업 안 들었는데"
"4661","안통하는","안 통하는"
"4662","무개념은","무개념은"
"4663","착용후기오늘","착용 후기 오늘"
"4664","유튜브랑","유튜브랑"
"4665","들었어요휴결국","들었어요 휴결국"
"4666","오랫동안","오랫동안"
"4667","시행착오","시행착오"
"4668","해냈습니다어떻게","해냈습니다 어떻게"
"4669","긴장해서","긴장해서"
"4670","떨려요이제","떨려요 이제"
"4671","했어요그리고","했어요 그리고"
"4672","나왔어요느그","나왔어요느 그"
"4673","으를려그","으를 려 그"
"4674","아니즎으생리대는","아니즎으 생리대는"
"4675","빵빵해지고","빵빵해지고"
"4676","적응해서","적응해서"
"4677","나한시간만","나한 시간만"
"4678","돌아왔습니다작년에","돌아왔습니다 작년에"
"4679","pt쌤이","pt쌤이"
"4680","탐폰끼고","탐폰끼고"
"4681","편한데요라며","편한데요라며"
"4682","건데운동은커녕","건데운동은커녕"
"4683","생리통탐폰실패로","생리통 탐폰 실패로"
"4684","긴장해서","긴장해서"
"4685","힘빠짐의자에","힘 빠짐의자에"
"4686","생활반경","생활 반경"
"4687","있어욬그냥그랬다구요무서웠다구여아직","있어 욬그냥 그랬다구요 무서웠다구여아직"
"4688","알려주세여처음엔","알려주세 여 처음엔"
"4689","경험자분","경험자 분"
"4690","팁같은걸","팁 같은 걸"
"4691","고민하시","고민하시"
"4692","종강하자마자","종강하자마자"
"4693","자취해보려고","자취해보려고"
"4694","해결해야할까싶어서요","해결해야 할까 싶어서요"
"4695","댓글이나","댓글이나"
"4696","부탁드립니","부탁드립니"
"4697","종강하자마자","종강하자마자"
"4698","어디론가","어디론가"
"4699","숨어버릴까봐","숨어버릴까봐"
"4700","23살먹고도","23살 먹고도"
"4701","이런식으로","이런 식으로"
"4702","수강생들","수강생들"
"4703","안되고어떻게","안 되고 어떻게"
"4704","아니고대학교가","아니고 대학교가"
"4705","초등학교","초등학교"
"4706","무신론자","무신론자"
"4707","되었다자기자신만을","되었다 자기 자신만을"
"4708","어떠신가요저는","어떠신가요 저는"
"4709","이것했으니","이것했으니"
"4710","미치겠어요물론","미치겠어요 물론"
"4711","대찬성이에요하지만","대 찬성이에요 하지만"
"4712","내로남불","내로 남불"
"4713","건가요예를","건가요예를"
"4714","들어볼게요","들어볼게요"
"4715","도와달라고","도와달라고"
"4716","먹고싶은거","먹고 싶은 거"
"4717","내요그러다가","내요 그러다가"
"4718","설거지하니까","설거지 하니까"
"4719","책상닦고","책상 닦고"
"4720","재활용쓰레기","재활용 쓰레기"
"4721","나쁜말로","나쁜 말로"
"4722","지랄해요그걸","지랄해요 그걸"
"4723","자기생각","자기 생각"
"4724","들여놓는데여러분이라면","들여놓는데 여러분이라면"
"4725","이런사람","이런 사람"
"4726","기말기간","기말 기간"
"4727","쪽잠자면서","쪽잠 자면서"
"4728","개그우먼","개그우먼"
"4729","댓글보면","댓글 보면"
"4730","이세영한테","이세영 한테"
"4731","못참겠는데","못 참겠는데"
"4732","작치니까","작치니까"
"4733","현실도피","현실도피"
"4734","선교산데","선교산 데"
"4735","전화와서","전화와서"
"4736","생각들어서","생각 들어서"
"4737","친구들이","친구들이"
"4738","많다하나도","많다 하나도"
"4739","받고싶은거알겠는데나도","받고 싶은 거 알겠는데 나도"
"4740","힘들다그것","힘들다 그것"
"4741","두번하시는","두 번 하시는"
"4742","가는거야인터넷에","가는 거야 인터넷에"
"4743","안나오고","안 나오고"
"4744","두개정도","두 개 정도"
"4745","갈거든근데","갈 거든 근데"
"4746","말하는거","말하는 거"
"4747","자주자주","자주 자주"
"4748","모르겠어좀","모르겠어 좀"
"4749","한동대학교가","한동대학교가"
"4750","있다는건","있다는 건"
"4751","아너코드와","아너코드와"
"4752","흥미로운","흥미로운"
"4753","한동대학교는","한동대학교는"
"4754","한동대학교에","한동대학교에"
